,day,hour,waves_size,wind_speed,wind_direction
0,Dimanche 11 Janvier,01:00,2.6 - 3.9,\n9\n\n,Orientation vent Est
1,Dimanche 11 Janvier,02:00,2.5 - 3.8,\n11\n\n,Orientation vent Est Sud Est
2,Dimanche 11 Janvier,03:00,2.4 - 3.7,\n14\n\n,Orientation vent Sud Est
3,Dimanche 11 Janvier,04:00,2.4 - 3.6,\n16\n\n,Orientation vent Sud Est
4,Dimanche 11 Janvier,05:00,2.3 - 3.5,\n17\n\n,Orientation vent Sud Est
5,Dimanche 11 Janvier,06:00,2.2 - 3.3,\n17\n\n,Orientation vent Sud Est
6,Dimanche 11 Janvier,07:00,2.2 - 3.2,\n17\n\n,Orientation vent Sud Est
7,Dimanche 11 Janvier,08:00,2.1 - 3.1,\n18\n\n,Orientation vent Sud Est
8,Dimanche 11 Janvier,09:00,2.0 - 3.0,\n19\n\n,Orientation vent Sud Est
9,Dimanche 11 Janvier,10:00,1.9 - 2.9,\n19\n\n,Orientation vent Sud Est
10,Dimanche 11 Janvier,11:00,1.8 - 2.8,\n19\n\n,Orientation vent Sud Est
11,Dimanche 11 Janvier,12:00,1.8 - 2.6,\n20\n\n,Orientation vent Sud Est
12,Dimanche 11 Janvier,13:00,1.7 - 2.5,\n20\n\n,Orientation vent Sud Est
13,Dimanche 11 Janvier,14:00,1.6 - 2.4,\n20\n\n,Orientation vent Sud Est
14,Dimanche 11 Janvier,15:00,1.5 - 2.3,\n20\n\n,Orientation vent Sud Est
15,Dimanche 11 Janvier,16:00,1.5 - 2.2,\n20\n\n,Orientation vent Sud Est
16,Dimanche 11 Janvier,17:00,1.4 - 2.1,\n20\n\n,Orientation vent Sud Est
17,Dimanche 11 Janvier,18:00,1.4 - 2.0,\n21\n\n,Orientation vent Sud Est
18,Dimanche 11 Janvier,19:00,1.3 - 2.0,\n21\n\n,Orientation vent Sud Est
19,Dimanche 11 Janvier,20:00,1.3 - 1.9,\n22\n\n,Orientation vent Sud Est
20,Dimanche 11 Janvier,21:00,1.3 - 1.9,\n22\n\n,Orientation vent Sud
21,Dimanche 11 Janvier,22:00,1.2 - 1.9,\n23\n\n,Orientation vent Sud
22,Dimanche 11 Janvier,23:00,1.3 - 1.9,\n24\n\n,Orientation vent Sud
23,Lundi 12 Janvier,00:00,1.3 - 1.9,\n25\n\n,Orientation vent Sud
24,Lundi 12 Janvier,01:00,1.3 - 2.0,\n26\n\n,Orientation vent Sud
25,Lundi 12 Janvier,02:00,1.4 - 2.1,\n27\n\n,Orientation vent Sud
26,Lundi 12 Janvier,03:00,1.5 - 2.2,\n27\n\n,Orientation vent Sud
27,Lundi 12 Janvier,04:00,1.6 - 2.3,\n27\n\n,Orientation vent Sud
28,Lundi 12 Janvier,05:00,1.6 - 2.4,\n27\n\n,Orientation vent Sud
29,Lundi 12 Janvier,06:00,1.7 - 2.5,\n26\n\n,Orientation vent Sud
30,Lundi 12 Janvier,07:00,1.8 - 2.6,\n26\n\n,Orientation vent Sud
31,Lundi 12 Janvier,08:00,1.8 - 2.7,\n27\n\n,Orientation vent Sud
32,Lundi 12 Janvier,09:00,1.9 - 2.8,\n29\n\n,Orientation vent Sud
33,Lundi 12 Janvier,10:00,1.9 - 2.9,\n30\n\n,Orientation vent Sud
34,Lundi 12 Janvier,11:00,2.0 - 3.0,\n31\n\n,Orientation vent Sud
35,Lundi 12 Janvier,12:00,2.1 - 3.1,\n32\n\n,Orientation vent Sud
36,Lundi 12 Janvier,13:00,2.1 - 3.2,\n33\n\n,Orientation vent Sud
37,Lundi 12 Janvier,14:00,2.2 - 3.2,\n32\n\n,Orientation vent Sud
38,Lundi 12 Janvier,15:00,2.2 - 3.3,\n31\n\n,Orientation vent Sud
39,Lundi 12 Janvier,16:00,2.2 - 3.4,\n30\n\n,Orientation vent Sud
40,Lundi 12 Janvier,17:00,2.3 - 3.4,\n30\n\n,Orientation vent Sud Ouest
41,Lundi 12 Janvier,18:00,2.3 - 3.4,\n29\n\n,Orientation vent Sud Ouest
42,Lundi 12 Janvier,19:00,2.3 - 3.5,\n29\n\n,Orientation vent Sud Ouest
43,Lundi 12 Janvier,20:00,2.3 - 3.5,\n29\n\n,Orientation vent Sud Ouest
44,Lundi 12 Janvier,21:00,2.3 - 3.5,\n28\n\n,Orientation vent Sud
45,Lundi 12 Janvier,22:00,2.3 - 3.5,\n27\n\n,Orientation vent Sud
46,Lundi 12 Janvier,23:00,2.3 - 3.5,\n25\n\n,Orientation vent Sud
47,Mardi 13 Janvier,00:00,2.3 - 3.4,\n23\n\n,Orientation vent Sud Est
48,Mardi 13 Janvier,01:00,2.3 - 3.4,\n23\n\n,Orientation vent Sud Est
49,Mardi 13 Janvier,02:00,2.3 - 3.4,\n25\n\n,Orientation vent Sud Est
